TimeStamp,x,y,Heading,Speed,Accel,DesiredSpd
1.222,0.000,0.000,21.000,0.124,2.248,0.000
1.238,0.000,0.000,21.000,0.124,2.248,1.615
1.254,0.000,0.000,21.000,0.124,2.248,1.615
1.270,39.682,-75.757,20.998,0.012,1.937,1.615
1.287,0.000,0.000,20.998,0.012,1.937,1.615
1.304,0.000,0.000,20.998,0.012,1.937,1.615
1.318,0.000,0.000,20.998,0.012,1.937,1.615
1.334,0.000,0.000,20.998,0.012,1.937,1.615
1.350,0.000,0.000,20.998,0.009,0.296,1.615
1.366,0.000,0.000,20.998,0.009,0.296,1.615
1.383,0.000,0.000,20.998,0.009,0.296,1.615
1.398,0.000,0.000,20.999,0.010,0.030,1.615
1.414,0.000,0.000,20.999,0.010,0.030,1.615
1.432,0.000,0.000,20.999,0.010,0.030,1.615
1.446,0.000,0.000,20.999,0.010,0.030,1.502
1.462,0.000,0.000,21.000,0.008,0.034,1.502
1.478,39.682,-75.757,21.000,0.008,0.034,1.502
1.496,0.000,0.000,21.000,0.008,0.034,1.502
1.510,0.000,0.000,21.000,0.008,0.034,1.502
1.526,0.000,0.000,21.000,0.006,0.040,1.502
1.542,0.000,0.000,21.000,0.006,0.040,1.502
1.560,0.000,0.000,21.000,0.006,0.040,1.502
1.575,39.682,-75.757,21.000,0.004,0.032,1.502
1.590,0.000,0.000,21.000,0.004,0.032,1.502
1.606,0.000,0.000,21.000,0.004,0.032,1.502
1.624,0.000,0.000,21.000,0.004,0.032,1.502
1.638,0.000,0.000,21.000,0.004,0.032,1.502
1.654,0.000,0.000,21.000,0.002,0.023,1.495
1.670,0.000,0.000,21.000,0.002,0.023,1.495
1.689,0.000,0.000,21.000,0.002,0.023,1.495
1.702,0.000,0.000,21.000,0.002,0.023,1.495
1.718,0.000,0.000,21.000,0.001,0.015,1.495
1.734,0.000,0.000,21.000,0.001,0.015,1.495
1.750,0.000,0.000,21.000,0.001,0.015,1.495
1.766,0.000,0.000,21.000,0.001,0.009,1.495
1.782,0.000,0.000,21.000,0.001,0.009,1.495
1.798,0.000,0.000,21.000,0.001,0.009,1.495
1.816,0.000,0.000,21.000,0.001,0.009,1.495
1.830,0.000,0.000,21.000,0.001,0.009,1.495
1.846,0.000,0.000,21.000,0.000,0.013,1.495
1.861,0.000,0.000,21.000,0.000,0.013,1.491
1.877,39.682,-75.757,21.000,0.000,0.013,1.491
1.893,0.000,0.000,21.000,0.000,0.013,1.491
1.909,0.000,0.000,21.000,0.000,0.000,1.491
1.925,0.000,0.000,21.000,0.000,0.000,1.491
1.941,0.000,0.000,21.000,0.000,0.000,1.491
1.957,0.000,0.000,21.000,0.000,0.000,1.491
1.973,39.682,-75.757,21.000,0.000,0.000,1.491
1.992,0.000,0.000,21.000,0.000,0.000,1.491
2.006,0.000,0.000,21.000,0.000,0.000,1.491
2.022,0.000,0.000,21.000,0.000,0.000,1.491
2.038,0.000,0.000,21.000,0.000,0.000,1.491
2.054,0.000,0.000,21.000,0.000,0.000,1.491
2.070,39.682,-75.757,21.000,0.000,0.000,1.491
2.088,0.000,0.000,21.000,0.000,0.000,1.491
2.104,0.000,0.000,21.000,0.000,0.000,1.491
2.121,0.000,0.000,21.000,0.000,0.000,1.491
2.137,0.000,0.000,21.000,0.000,0.000,1.491
2.153,0.000,0.000,21.000,0.000,0.000,1.491
2.170,39.682,-75.757,21.000,0.000,0.000,1.491
2.187,0.000,0.000,21.000,0.000,0.000,1.491
2.210,0.000,0.000,21.000,0.000,0.000,1.491
2.225,0.000,0.000,21.000,0.000,0.000,1.491
2.241,0.000,0.000,21.000,0.000,0.000,1.491
2.257,0.000,0.000,21.000,0.000,0.000,1.491
2.273,39.682,-75.757,21.000,0.000,0.000,1.491
2.289,0.000,0.000,21.000,0.000,0.000,1.491
2.305,0.000,0.000,21.000,0.000,0.000,1.491
2.327,0.000,0.000,21.000,0.000,0.000,1.491
2.343,0.000,0.000,21.000,0.000,0.000,1.491
2.358,0.000,0.000,21.000,0.000,0.000,1.491
2.374,39.682,-75.757,21.000,0.000,0.000,1.491
2.390,0.000,0.000,21.000,0.000,0.000,1.491
2.406,0.000,0.000,21.000,0.000,0.000,1.491
2.422,0.000,0.000,21.000,0.000,0.000,1.491
2.440,0.000,0.000,21.000,0.000,0.000,1.491
2.455,0.000,0.000,21.000,0.000,0.000,1.491
2.471,39.682,-75.757,21.000,0.000,0.000,1.491
2.487,0.000,0.000,21.000,0.000,0.000,1.491
2.505,0.000,0.000,21.000,0.000,0.000,1.491
2.526,0.000,0.000,21.000,0.000,0.000,1.491
2.541,0.000,0.000,21.000,0.000,0.000,1.491
2.563,0.000,0.000,21.000,0.000,0.000,1.491
2.582,0.000,0.000,21.000,0.000,0.000,1.491
2.595,0.000,0.000,21.000,0.000,0.000,1.491
2.611,0.000,0.000,21.000,0.000,0.000,1.491
2.627,0.000,0.000,21.000,0.000,0.000,1.491
2.643,0.000,0.000,21.000,0.000,0.000,1.491
2.659,0.000,0.000,21.000,0.000,0.000,1.491
2.675,39.682,-75.757,21.000,0.000,0.000,1.491
2.691,0.000,0.000,21.000,0.000,0.000,1.491
2.707,0.000,0.000,21.000,0.000,0.000,1.491
2.723,0.000,0.000,21.000,0.000,0.000,1.491
2.741,0.000,0.000,21.000,0.000,0.000,1.491
2.756,0.000,0.000,21.000,0.000,0.000,1.491
2.772,39.682,-75.757,21.000,0.000,0.000,1.491
2.788,0.000,0.000,21.000,0.000,0.000,1.491
2.805,0.000,0.000,21.000,0.000,0.000,1.491
2.820,0.000,0.000,21.000,0.000,0.000,1.491
2.839,0.000,0.000,21.000,0.000,0.000,1.491
2.856,0.000,0.000,21.000,0.000,0.000,1.491
2.874,39.682,-75.757,21.000,0.000,0.000,1.491
2.889,0.000,0.000,21.000,0.000,0.000,1.491
2.905,0.000,0.000,21.000,0.000,0.000,1.491
2.921,0.000,0.000,21.000,0.000,0.000,1.491
2.939,0.000,0.000,21.000,0.000,0.000,1.491
2.954,0.000,0.000,21.000,0.000,0.000,1.491
2.978,0.000,0.000,21.000,0.000,0.000,1.491
2.994,0.000,0.000,21.000,0.000,0.000,1.491
3.010,0.000,0.000,21.000,0.000,0.000,1.491
3.026,0.000,0.000,21.000,0.000,0.000,1.491
3.042,0.000,0.000,21.000,0.000,0.000,1.491
3.058,0.000,0.000,21.000,0.000,0.000,1.491
3.074,39.682,-75.757,21.000,0.000,0.000,1.491
3.092,0.000,0.000,21.000,0.000,0.000,1.491
3.108,0.000,0.000,21.000,0.000,0.000,1.491
3.124,0.000,0.000,21.000,0.000,0.000,1.491
3.140,0.000,0.000,21.000,0.000,0.000,1.491
3.156,0.000,0.000,21.000,0.000,0.000,1.491
3.172,39.682,-75.757,21.000,0.000,0.000,1.491
3.190,0.000,0.000,21.000,0.000,0.000,1.491
3.205,0.000,0.000,21.000,0.000,0.000,1.491
3.226,0.000,0.000,21.000,0.000,0.000,1.491
3.241,0.000,0.000,21.000,0.000,0.000,1.491
3.257,0.000,0.000,21.000,0.000,0.000,1.491
3.273,39.682,-75.757,21.000,0.000,0.000,1.491
3.289,0.000,0.000,21.000,0.000,0.000,1.491
3.305,0.000,0.000,21.000,0.000,0.000,1.491
3.322,0.000,0.000,21.000,0.000,0.000,1.491
3.337,0.000,0.000,21.000,0.000,0.000,1.491
3.354,0.000,0.000,21.000,0.000,0.000,1.491
3.370,39.682,-75.757,21.000,0.000,0.000,1.491
3.387,0.000,0.000,21.000,0.000,0.000,1.491
3.403,0.000,0.000,21.000,0.000,0.000,1.491
3.421,0.000,0.000,21.000,0.000,0.000,1.491
3.437,0.000,0.000,21.000,0.000,0.000,1.491
3.454,0.000,0.000,21.000,0.000,0.000,1.491
3.470,39.682,-75.757,21.000,0.000,0.000,1.491
3.486,0.000,0.000,21.000,0.000,0.000,1.491
3.503,0.000,0.000,21.000,0.000,0.000,1.491
3.519,0.000,0.000,21.000,0.000,0.000,1.491
3.540,0.000,0.000,21.000,0.000,0.000,1.491
3.555,0.000,0.000,21.000,0.000,0.000,1.491
3.571,39.682,-75.757,21.000,0.000,0.000,1.491
3.601,0.000,0.000,21.000,0.000,0.000,1.491
3.620,0.000,0.000,21.000,0.000,0.000,1.491
3.636,0.000,0.000,21.000,0.000,0.000,1.491
3.655,0.000,0.000,21.000,0.000,0.000,1.491
3.670,39.682,-75.757,21.000,0.000,0.000,1.491
3.686,0.000,0.000,21.000,0.000,0.000,1.491
3.703,0.000,0.000,21.000,0.000,0.000,1.491
3.737,0.000,0.000,21.000,0.000,0.000,1.491
3.753,0.000,0.000,21.000,0.000,0.000,1.491
