TimeStamp,x,y,Heading,Speed,Accel,DesiredSpd,Speed_Lead,Spacing,Dist2StopBar
1.261,39.682,-75.757,24.598,0.041,0.593,0.000,20.000,250.000,111.944
1.276,39.682,-75.757,24.598,0.041,0.593,1.532,20.000,250.000,111.944
1.292,39.682,-75.757,24.598,0.041,0.593,1.532,20.000,250.000,111.944
1.308,39.682,-75.757,24.597,0.001,0.736,1.532,20.000,250.000,111.943
1.324,39.682,-75.757,24.597,0.001,0.736,1.532,20.000,250.000,111.943
1.342,39.682,-75.757,24.597,0.001,0.736,1.532,20.000,250.000,111.943
1.356,39.682,-75.757,24.598,0.001,0.736,1.532,20.000,250.000,111.943
1.372,39.682,-75.757,24.598,0.011,0.188,1.532,20.000,250.000,111.944
1.388,39.682,-75.757,24.598,0.011,0.188,1.532,20.000,250.000,111.944
1.406,39.682,-75.757,24.598,0.011,0.188,1.532,20.000,250.000,111.944
1.420,39.682,-75.757,24.599,0.012,0.007,1.532,20.000,250.000,111.944
1.436,39.682,-75.757,24.599,0.012,0.007,1.532,20.000,250.000,111.944
1.455,39.682,-75.757,24.599,0.012,0.007,1.532,20.000,250.000,111.944
1.467,39.682,-75.757,24.599,0.012,0.007,1.532,20.000,250.000,111.944
1.483,39.682,-75.757,24.600,0.009,0.046,1.503,20.000,250.000,111.945
1.499,39.682,-75.757,24.600,0.009,0.046,1.503,20.000,250.000,111.945
1.515,39.682,-75.757,24.600,0.009,0.046,1.503,20.000,250.000,111.945
1.531,39.682,-75.757,24.600,0.009,0.046,1.503,20.000,250.000,111.945
1.547,39.682,-75.757,24.600,0.006,0.045,1.503,20.000,250.000,111.945
1.563,39.682,-75.757,24.600,0.006,0.045,1.503,20.000,250.000,111.945
1.581,39.682,-75.757,24.600,0.006,0.045,1.503,20.000,250.000,111.945
1.595,39.682,-75.757,24.600,0.006,0.045,1.503,20.000,250.000,111.945
1.611,39.682,-75.757,24.600,0.004,0.034,1.503,20.000,250.000,111.945
1.627,39.682,-75.757,24.600,0.004,0.034,1.503,20.000,250.000,111.945
1.645,39.682,-75.757,24.600,0.004,0.034,1.503,20.000,250.000,111.945
1.659,39.682,-75.757,24.600,0.003,0.024,1.503,20.000,250.000,111.946
1.675,39.682,-75.757,24.600,0.003,0.024,1.503,20.000,250.000,111.946
1.693,39.682,-75.757,24.600,0.003,0.024,1.494,20.000,250.000,111.946
1.707,39.682,-75.757,24.600,0.003,0.024,1.494,20.000,250.000,111.946
1.723,39.682,-75.757,24.600,0.002,0.016,1.494,20.000,250.000,111.946
1.739,39.682,-75.757,24.600,0.002,0.016,1.494,20.000,250.000,111.946
1.757,39.682,-75.757,24.600,0.002,0.016,1.494,20.000,250.000,111.946
1.771,39.682,-75.757,24.600,0.002,0.016,1.494,20.000,250.000,111.946
1.787,39.682,-75.757,24.600,0.001,0.010,1.494,20.000,250.000,111.946
1.803,39.682,-75.757,24.600,0.001,0.010,1.494,20.000,250.000,111.946
1.821,39.682,-75.757,24.600,0.001,0.010,1.494,20.000,250.000,111.946
1.836,39.682,-75.757,24.600,0.000,0.018,1.494,20.000,250.000,111.946
1.851,39.682,-75.757,24.600,0.000,0.018,1.494,20.000,250.000,111.946
1.867,39.682,-75.757,24.600,0.000,0.018,1.494,20.000,250.000,111.946
1.885,39.682,-75.757,24.600,0.000,0.018,1.494,20.000,250.000,111.946
1.899,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
1.915,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
1.934,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
1.947,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
1.963,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
